Order Date,Sale Status,Order ID,Customer,Product Title,SKU,TSIN,Qty,Fulfilment DC,Customer DC,Gross Sales,Sold On Daily Deal/Promo,Success Fee,Fulfilment Fee,Courier Collection Fee,Stock Transfer Fee,Net Sales Amount,Shipment Name,PO Number,Date Shipped to Customer
2026-03-22,Shipped,500001,Demo Customer,Braai Master Tongs Set,KG-BRAAI-TONG-01,200001,1,JHB,JHB,349.00,,45.37,45.00,0.00,0.00,258.63,SHP-500001,510001,2026-03-23
2026-03-21,Shipped,500002,Demo Customer,Rooibos Face Cream 50ml,KG-ROOIBOS-CRM-50,200002,1,CPT,CPT,199.00,,29.85,33.00,0.00,0.00,136.15,SHP-500002,510002,2026-03-22
2026-03-20,Shipped,500003,Demo Customer,Biltong Box 1kg Premium,KG-BILTONG-1KG,200003,1,JHB,CPT,299.00,,35.88,22.00,0.00,18.00,223.12,SHP-500003,510003,2026-03-21
2026-03-19,Delivered,500004,Demo Customer,Wireless Earbuds Pro ZA,KG-EARBUDS-PRO,200004,1,JHB,JHB,899.00,,67.43,60.00,0.00,0.00,771.57,SHP-500004,510004,2026-03-20
2026-03-18,Shipped,500005,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,2,JHB,JHB,298.00,,44.70,45.00,0.00,0.00,208.30,SHP-500005,510005,2026-03-19
2026-03-17,Shipped,500006,Demo Customer,Camping Chair Deluxe,KG-CAMP-CHAIR-DX,200006,1,JHB,JHB,1499.00,,179.88,65.00,0.00,0.00,1254.12,SHP-500006,510006,2026-03-18
2026-03-16,Shipped,500007,Demo Customer,Yoga Mat Premium 6mm,KG-YOGA-MAT-6MM,200007,1,CPT,CPT,449.00,,53.88,60.00,0.00,0.00,335.12,SHP-500007,510007,2026-03-17
2026-03-15,Shipped,500008,Demo Customer,Baby Monitor WiFi,KG-BABY-MON-WIFI,200008,1,JHB,JHB,1999.00,,299.85,33.00,0.00,0.00,1666.15,SHP-500008,510008,2026-03-16
2026-03-14,Shipped,500009,Demo Customer,Garden Umbrella 3m,KG-UMBRELLA-3M,200009,1,JHB,CPT,2499.00,,299.88,130.00,0.00,75.00,1994.12,SHP-500009,510009,2026-03-15
2026-03-13,Delivered,500010,Demo Customer,Office Desk Stand Adjustable,KG-DESK-STAND-ADJ,200010,1,DBN,DBN,3499.00,,419.88,145.00,0.00,0.00,2934.12,SHP-500010,510010,2026-03-14
2026-03-12,Shipped,500011,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,1,JHB,JHB,99.00,,7.43,60.00,0.00,0.00,31.57,SHP-500011,510011,2026-03-13
2026-03-11,Shipped,500012,Demo Customer,LED Smart Bulb 4-Pack,KG-LED-BULB-4PK,200012,1,JHB,JHB,599.00,,71.88,60.00,0.00,0.00,467.12,SHP-500012,510012,2026-03-12
2026-03-10,Shipped,500013,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,1,JHB,JHB,149.00,,22.35,45.00,0.00,0.00,81.65,SHP-500013,510013,2026-03-11
